iteration,instance_idx,stress
26,0,552833.8494803132
26,1,642210.4466682393
26,2,793768.6290166099
26,3,640784.4525893539
26,4,535550.7818238703
26,5,696055.0250723681
26,6,1142161.951536095
26,7,736316.5233487388
26,8,573882.970454558
26,9,634369.0100552045
27,0,686394.123213936
27,1,946808.632017389
27,2,1352656.2796144441
27,3,601870.076982518
27,4,594874.9297258343
27,5,749021.555972257
27,6,706884.0689791545
27,7,829609.0350465633
27,8,551851.4217330904
27,9,676240.2750733966
28,0,1158702.1490187503
28,1,606749.0843778885
28,2,690438.4668666439
28,3,648768.1542222676
28,4,1291258.2588826977
28,5,1012953.996528238
28,6,643344.7655918685
28,7,683763.7712979869
28,8,672577.3569559966
28,9,633681.4398088465
29,0,610018.7416981678
29,1,796969.6031378205
29,2,833061.861832119
29,3,644954.4467117462
29,4,740232.5211167089
29,5,1824954.5622177701
29,6,1343458.2828965452
29,7,1793730.6922464578
29,8,806801.4985898174
29,9,1083785.4523625085
30,0,866435.3146993957
30,1,636950.5971506707
30,2,953232.0932527507
30,3,632680.702269049
30,4,784501.5700575102
30,5,1021832.1374370313
30,6,652520.8275270561
30,7,663806.7179582854
30,8,729498.346465102
30,9,752470.1870574299
31,0,724348.1141290212
31,1,594034.411853011
31,2,647331.0428084092
31,3,588630.5989753485
31,4,627022.5018758717
31,5,656826.4686465529
31,6,745440.9882571242
31,7,1002298.8250059056
31,8,787227.8389603626
31,9,1348577.6257006777
32,0,560040.4198701675
32,1,698154.7680333415
32,2,676266.9730042281
32,3,775173.2668732073
32,4,955035.5727382371
32,5,1739713.7840875648
32,6,617453.3843785771
32,7,891122.4599063818
32,8,1158012.002864158
32,9,1094551.4487183897
33,0,657506.9292351933
33,1,930183.5519935925
33,2,569991.4876981218
33,3,565861.3156192949
33,4,614832.0890410497
33,5,697327.1689495353
33,6,640224.8548785639
33,7,665318.218933664
33,8,1042214.9884247497
33,9,807334.7387569525
34,0,580639.7421939315
34,1,742579.7147600615
34,2,835567.8219051647
34,3,603446.6544139256
34,4,817976.0385580234
34,5,674727.6667848654
34,6,624413.9957240381
34,7,1224444.13684686
34,8,862103.2218012153
34,9,665423.6836226756
35,0,686372.1689710848
35,1,744491.0916532241
35,2,716787.850055238
35,3,649492.2914394075
35,4,814294.3472277215
35,5,681097.2565603981
35,6,657271.2724272622
35,7,663919.3090421853
35,8,666113.6326625178
35,9,853706.3558990087
36,0,636216.1047907149
36,1,673445.389374402
36,2,707327.1936789051
36,3,871668.4397962923
36,4,766130.6605951923
36,5,1155478.7972374836
36,6,1053138.557853809
36,7,839944.7596539863
36,8,1351059.6739211585
36,9,606773.0233524309
37,0,1424051.7890612902
37,1,1077558.9340164452
37,2,600486.9099940656
37,3,514506.30272541236
37,4,821679.7896591784
37,5,642772.3882834004
37,6,1274632.7694359194
37,7,773578.7976949678
37,8,691325.1390873924
37,9,1756657.3324565056
38,0,1753389.7793233588
38,1,528379.7506011821
38,2,616990.4846711925
38,3,861103.7494889111
38,4,564952.1789466335
38,5,633822.2491899179
38,6,775796.4184333459
38,7,672104.3595035443
38,8,1081497.0125773896
38,9,831453.4662698195
39,0,932776.9508975882
39,1,1063605.975565581
39,2,621947.0618727327
39,3,834532.7451055681
39,4,766192.588328471
39,5,894482.242689572
39,6,1071846.5537755617
39,7,1098125.108602882
39,8,1539084.2517474338
39,9,980030.5858957098
40,0,639646.4835235312
40,1,1853247.6060385797
40,2,1082438.8884266608
40,3,886565.2075416987
40,4,1274902.367775486
40,5,781112.9143479206
40,6,564260.4399279659
40,7,1672105.1875153247
40,8,746932.3661818143
40,9,1107507.714989782
41,0,736974.6009482414
41,1,1435422.2644819953
41,2,936700.8506641611
